iter	Logloss
0	0.680093944
1	0.6684366378
2	0.6602613856
3	0.6444064205
4	0.6375125744
5	0.6205604319
6	0.6141667133
7	0.6098829268
8	0.5987900523
9	0.5944403397
10	0.5866251405
11	0.5827859395
12	0.578843909
13	0.5763937428
14	0.5732661293
15	0.5705022524
16	0.5686402675
17	0.5664733546
18	0.5636231311
19	0.5613660154
20	0.5597042007
21	0.5575442331
22	0.5552334244
23	0.5529308385
24	0.551214216
25	0.5498661348
26	0.5466227616
27	0.5452164696
28	0.5438934455
29	0.5421002677
30	0.5406674022
31	0.5392220522
32	0.536917467
33	0.53563081
34	0.5313161735
35	0.5298109293
36	0.5284212586
37	0.5265995177
38	0.5254459721
39	0.5235255728
40	0.5225432239
41	0.5218543734
42	0.5203203133
43	0.5192342445
44	0.518410448
45	0.5154335643
46	0.5143981021
47	0.5136989621
48	0.5126768516
49	0.5111852114
50	0.5105248217
51	0.5098124671
52	0.5092069267
53	0.5086105362
54	0.5074532341
55	0.5065608167
56	0.5052507135
57	0.5045212357
58	0.503815246
59	0.5022319832
60	0.5015174276
61	0.5009124428
62	0.500302215
63	0.4992013758
64	0.4983809361
65	0.4974981048
66	0.4969152023
67	0.4961594785
68	0.4953540212
69	0.4948788004
70	0.4940488904
71	0.4930762901
72	0.4906527757
73	0.4898351859
74	0.4891410488
75	0.4883849356
76	0.4875865712
77	0.4870113271
78	0.4864594476
79	0.4854394719
80	0.4848780949
81	0.4838551678
82	0.4833892591
83	0.4826842695
84	0.4820405119
85	0.4815612392
86	0.4809411547
87	0.4803930908
88	0.4798737621
89	0.4793282731
90	0.4788978621
91	0.4784505903
92	0.4780212533
93	0.4775562333
94	0.4770402795
95	0.4765496311
96	0.475426312
97	0.4749862893
98	0.4746193837
99	0.4743290934
100	0.4738969993
101	0.4735199845
102	0.4728154106
103	0.4725171674
104	0.4716919898
105	0.4712514567
106	0.4706242676
107	0.4700678728
108	0.469580719
109	0.4689865881
110	0.4684467051
111	0.467805831
112	0.4672771406
113	0.466760218
114	0.4662886912
115	0.4655733697
116	0.465111992
117	0.4647539317
118	0.4643601661
119	0.4636611459
120	0.4632364766
121	0.4617990661
122	0.4612375978
123	0.4607529331
124	0.4599902471
125	0.4595358153
126	0.4585220202
127	0.4575653727
128	0.4567746522
129	0.4563749817
130	0.455988026
131	0.4555135419
132	0.4550779966
133	0.4544363107
134	0.4540320458
135	0.4536933719
136	0.4532677789
137	0.4529333524
138	0.4526423634
139	0.4518561631
140	0.4512901104
141	0.4508758432
142	0.4505177516
143	0.4499906559
144	0.4496995578
145	0.449244266
146	0.448941781
147	0.4485337149
148	0.4481553497
149	0.4477702429
150	0.4473454814
151	0.4469073777
152	0.446659432
153	0.4460663702
154	0.4455126529
155	0.4450626881
156	0.4447389105
157	0.4439329173
158	0.4436236931
159	0.443312316
160	0.4427377134
161	0.4421054996
162	0.4416232338
163	0.4412543341
164	0.4408605691
165	0.4405770941
166	0.4400808564
167	0.439429683
168	0.4392270607
169	0.4389279762
170	0.4386471221
171	0.4382068986
172	0.4377615889
173	0.4373917915
174	0.4369892487
175	0.4366870225
176	0.4362879315
177	0.4352980273
178	0.4347736831
179	0.4344144011
180	0.4341238015
181	0.4337558499
182	0.433393214
183	0.4328914137
184	0.4324874465
185	0.4320918334
186	0.4313783221
187	0.4310804903
188	0.4308065479
189	0.4305253883
190	0.429889744
191	0.4295158863
192	0.4290508004
193	0.4285374618
194	0.4282429616
195	0.4279848291
196	0.4275968544
197	0.4272978642
198	0.4269650615
199	0.4266473534
200	0.4261340401
201	0.425982339
202	0.4256519091
203	0.4254029497
204	0.4248482734
205	0.4244339487
206	0.4241531787
207	0.4235300504
208	0.4232726386
209	0.4229390962
210	0.4225113584
211	0.422321701
212	0.4218476824
213	0.4216178708
214	0.4213056259
215	0.4209131876
216	0.4205965926
217	0.4202598659
218	0.4199090101
219	0.4195742111
220	0.419218474
221	0.4190137802
222	0.4187011771
223	0.4185205195
224	0.418316591
225	0.4179139097
226	0.4175330829
227	0.4172162051
228	0.4170051481
229	0.4166398237
230	0.4164580016
231	0.416164407
232	0.4159462904
233	0.4155768528
234	0.4151939379
235	0.4149814658
236	0.4147732055
237	0.4144547841
238	0.4141660247
239	0.4137382062
240	0.4134251155
241	0.4130492313
242	0.4127880217
243	0.4125540391
244	0.4124170913
245	0.4121134619
246	0.4117992583
247	0.4113128785
248	0.4110964772
249	0.4107738581
250	0.4103223427
251	0.4100817282
252	0.4098229395
253	0.4094580984
254	0.408907365
255	0.4084569505
256	0.4080383041
257	0.4076533463
258	0.4073841137
259	0.4070609063
260	0.4068733929
261	0.4064158974
262	0.4061427995
263	0.4057953086
264	0.4055423954
265	0.4053030822
266	0.4050035892
267	0.4047018958
268	0.4043399556
269	0.4037869453
270	0.4034804086
271	0.4031193423
272	0.4029599042
273	0.4028159409
274	0.4025718445
275	0.4023230284
276	0.4020426019
277	0.4016261863
278	0.4014560674
279	0.401123855
280	0.4008203631
281	0.4005570299
282	0.4002999049
283	0.4000781058
284	0.3998616838
285	0.399577186
286	0.3993037039
287	0.3990809303
288	0.3988257955
289	0.3983338572
290	0.3979069923
291	0.3977293553
292	0.3974548305
293	0.3970788459
294	0.3968189711
295	0.3965402752
296	0.3962818759
297	0.3960903408
298	0.3957753664
299	0.3955436111
300	0.3953192649
301	0.3951490638
302	0.394762643
303	0.3945731158
304	0.3941958126
305	0.3940505661
306	0.3938367364
307	0.3936135088
308	0.3934327739
309	0.3932142688
310	0.3929922896
311	0.3926575015
312	0.3924821234
313	0.3922830674
314	0.3920696747
315	0.3917925445
316	0.3916939771
317	0.3914449413
318	0.3910615134
319	0.3908479816
320	0.3907357822
321	0.3905401989
322	0.3902880605
323	0.3898977205
324	0.3896839078
325	0.389539497
326	0.389234253
