iter	Passed	Remaining
0	44	44167
1	76	38026
2	106	35294
3	143	35657
4	175	34864
5	208	34617
6	240	34156
7	280	34741
8	321	35419
9	359	35557
10	395	35515
11	437	36043
12	476	36199
13	514	36215
14	555	36475
15	593	36524
16	637	36890
17	678	37021
18	715	36962
19	752	36854
20	792	36927
21	826	36725
22	861	36598
23	905	36843
24	940	36692
25	978	36674
26	1012	36493
27	1054	36606
28	1095	36688
29	1126	36436
30	1160	36272
31	1200	36305
32	1233	36155
33	1272	36150
34	1321	36424
35	1356	36325
36	1398	36408
37	1433	36300
38	1472	36275
39	1506	36165
40	1540	36043
41	1576	35958
42	1614	35925
43	1651	35880
44	1686	35793
45	1721	35697
46	1753	35563
47	1788	35476
48	1822	35369
49	1861	35374
50	1899	35344
51	1937	35328
52	1969	35190
53	2006	35149
54	2041	35077
55	2081	35094
56	2114	34987
57	2148	34892
58	2183	34829
59	2215	34711
60	2247	34601
61	2289	34644
62	2327	34613
63	2359	34506
64	2394	34442
65	2430	34398
66	2461	34280
67	2500	34272
68	2537	34240
69	2573	34190
70	2607	34120
71	2643	34075
72	2687	34131
73	2720	34046
74	2755	33980
75	2793	33964
76	2829	33920
77	2864	33858
78	2899	33808
79	2930	33702
80	2960	33587
81	2994	33525
82	3031	33491
83	3068	33460
84	3106	33445
85	3145	33429
86	3179	33371
87	3216	33333
88	3248	33252
89	3283	33201
90	3322	33192
91	3361	33175
92	3394	33105
93	3426	33028
94	3462	32982
95	3496	32924
96	3527	32839
97	3570	32865
98	3600	32772
99	3633	32700
100	3668	32650
101	3704	32609
102	3740	32574
103	3772	32498
104	3809	32469
105	3843	32417
106	3881	32390
107	3915	32342
108	3960	32371
109	3998	32350
110	4036	32331
111	4075	32312
112	4112	32283
113	4149	32251
114	4184	32204
115	4216	32134
116	4252	32092
117	4284	32025
118	4322	32001
119	4355	31940
120	4391	31900
121	4425	31848
122	4459	31799
123	4493	31744
124	4534	31740
125	4570	31701
126	4608	31675
127	4645	31644
128	4680	31600
129	4710	31522
130	4740	31448
131	4772	31385
132	4807	31340
133	4837	31266
134	4868	31194
135	4898	31121
